order,Nsites,prefactor,error,relative error,Nseeds
2,2,-0.5086715309922246,0.0,0.0,0
3,2,0,0.0,0.0,20
3,3,-0.20422673206642422,1.5082130843620334e-07,7.384993478089298e-07,20
4,2,0.12503073590623676,3.3446144658758567e-08,2.675033815992297e-07,20
4,3,-0.2674313341974849,9.903093769860696e-07,3.7030416796813152e-06,20
4,4,-0.161223198517085,5.548260332853188e-07,3.4413535917197625e-06,20
5,2,0,0.0,0.0,20
5,3,0.1643207431840012,1.5852647837355274e-07,9.647380805479913e-07,20
5,4,-0.3434028319535788,2.328830875839009e-06,6.781629792015869e-06,20
5,5,-0.16752665845301992,1.5224174512065876e-06,9.087613071644501e-06,20
6,2,-0.06250006839498098,1.737741871736808e-08,2.780383952149972e-07,20
6,3,0.4293264796756847,1.351875722229161e-06,3.1488291224207143e-06,20
6,4,-0.3078330300983482,6.8771244907501056e-06,2.2340437244674372e-05,20
6,5,-0.4642615960574744,4.784648806702408e-06,1.030593279162828e-05,20
6,6,-0.20425165855801306,2.6505370821155166e-06,1.2976820363799845e-05,20
7,2,0,0.0,0.0,20
7,3,-0.001177965992061605,1.2039843138704021e-08,1.0220874982674682e-05,20
7,4,0.7164399009230488,6.163892268576989e-06,8.60350220672458e-06,20
7,5,-0.7629432943060975,2.126805229500016e-05,2.7876321154829214e-05,20
7,6,-0.671970289282148,1.2897177550108158e-05,1.9193077068758423e-05,20
7,7,-0.27729151651570955,7.21384366592488e-06,2.6015378171571976e-05,20
8,2,0.03906243974477533,1.0753588759424299e-08,2.752922968889216e-07,20
8,3,-0.40107288051161427,1.3701478368333562e-06,3.416206638268776e-06,20
8,4,1.593190044645581,2.5667156197207376e-05,1.6110542670957538e-05,20
8,5,-0.2703821579159011,4.63725067875188e-05,0.00017150727379704683,20
8,6,-1.4393887759201,4.3887574110642085e-05,3.0490424022229744e-05,20
8,7,-1.0325022192289572,1.8474943408458223e-05,1.7893369199975933e-05,20
8,8,-0.40719904082832975,1.5795512580273572e-05,3.8790642895774336e-05,20
9,2,0,0.0,0.0,20
9,3,-0.22901752113457538,3.095513757642718e-07,1.3516493158720947e-06,20
9,4,0.29538037674822604,3.891087782258343e-06,1.3173142458190436e-05,20
9,5,3.1055098015745566,8.020131963743418e-05,2.5825492354514703e-05,20
9,6,-1.9589068266990168,0.0001601195100344005,8.173921692039855e-05,20
9,7,-2.5893833923863907,9.287529794171533e-05,3.5867727511807715e-05,20
9,8,-1.6682814773718149,5.530625705182565e-05,3.3151634062948584e-05,20
9,9,-0.6352165396385312,2.652872580609116e-05,4.176327937113741e-05,20
10,2,-0.02734380459827923,7.99360792200214e-09,2.923370774272277e-07,20
10,3,0.11807060044840487,4.806357821310041e-07,4.070749029018744e-06,20
10,4,-1.8675084323829285,3.978703198597909e-05,2.1304874075032207e-05,20
10,5,6.519509669161946,0.00040644779554627485,6.234330742215495e-05,20
10,6,1.1851483456098086,0.0004505217333524079,0.00038013952854196956,20
10,7,-5.010054529737123,0.00046686339960989203,9.318529306194763e-05,20
10,8,-4.656698185803629,0.00034769236176406936,7.466499822213976e-05,20
10,9,-2.812346388577571,0.00014422258716916616,5.128194299071072e-05,20
10,10,-1.0395201031920407,9.561534898925122e-05,9.198027887642233e-05,20
11,2,0,0.0,0.0,20
11,3,0.3349461613231687,4.931257952279683e-07,1.472253908747388e-06,20
11,4,-2.8291686649490906,3.838257239205349e-05,1.3566731763849848e-05,20
11,5,2.9689675587470625,0.0002716638478974161,9.150111697820681e-05,20
11,6,14.33838084511746,0.0016874760713522729,0.00011768944412763986,20
11,7,-4.735006051607316,0.0033398176154526556,0.0007053460078089957,20
11,8,-10.767114161231543,0.002012478608499232,0.00018690974929433133,20
11,9,-8.493077897802028,0.0009773631314154907,0.00011507761298980056,20
11,10,-4.916338898459399,0.0003285466427959521,6.68275010290496e-05,20
11,11,-1.7695119054016726,0.00022011148843888794,0.00012439107516992008,20
12,2,0.020507730814459623,6.1974003669489905e-09,3.0219825016326613e-07,20
12,3,0.32425102184769405,7.54313861677114e-07,2.3263268605254464e-06,20
12,4,-1.921749453344977,4.534647231054497e-05,2.3596453862190712e-05,20
12,5,-7.266933066573894,0.0005820001389865027,8.008882614641936e-05,20
12,6,29.26414315158084,0.008097512573887123,0.0002767042428662292,20
12,7,12.904492146959848,0.01178472459335586,0.0009132265306645336,20
12,8,-18.138579689021725,0.013892611337217864,0.0007659150592494456,20
12,9,-21.898071569970956,0.004842083654686366,0.00022111918116690988,20
12,10,-15.777954382485637,0.0022457300802433645,0.00014233341191151138,20
12,11,-8.863512175658311,0.001086553292717307,0.0001225872172547229,20
12,12,-3.1116776674239848,0.0005306559954805863,0.0001705369425104664,20
13,2,0,0.0,0.0,20
13,3,-0.09372707432228969,1.6226233846419484e-07,1.7312216308623904e-06,20
13,4,1.6883932174967,5.710276436054906e-05,3.382077336534945e-05,20
13,5,-19.67651736558317,0.0020073432119786564,0.00010201720023329764,20
13,6,20.54800752493866,0.00836572557557658,0.0004071307432325633,20
13,7,70.55853160316249,0.0318839504809165,0.0004518794503865134,20
13,8,-6.581861995475097,0.06280712777347759,0.009542455891153032,20
13,9,-46.71156056783393,0.0453896835420213,0.0009717012874384059,20
13,10,-43.823626215487515,0.020183066514521068,0.0004605521782993909,20
13,11,-29.90330823598465,0.006810207210192628,0.00022774092941320285,20
13,12,-16.407552378835085,0.004532787796914173,0.0002762622780202878,20
13,13,-5.626066381062971,0.0016309896434066268,0.00028989875570904175,20
