order,Nsites,prefactor,error,relative error,Nseeds
1,2,0,0.0,0.0,20
2,2,0,0.0,0.0,20
2,3,0,0.0,0.0,20
3,2,0,0.0,0.0,20
3,3,1.55827439409745,2.790094499941423e-06,1.7905026935627994e-06,20
3,4,-1.5322166492629583,9.899181473649299e-06,6.4606930608743214e-06,20
4,2,-0.2500036631615169,7.049225163664454e-08,2.8196487501506106e-07,20
4,3,0.7341134589183433,2.4649850764444443e-06,3.357771263418055e-06,20
4,4,1.5151203185711979,1.1669148980535903e-05,7.701796905172684e-06,20
4,5,-2.1237912243986115,4.551611866003241e-05,2.1431540980644693e-05,20
5,2,0,0.0,0.0,20
5,3,-1.0697063756582388,2.174213705070194e-06,2.0325331834470015e-06,20
5,4,3.0057019138819983,2.552876435238269e-05,8.493445153185916e-06,20
5,5,1.4195632014349564,2.3696357852180832e-05,1.6692710707228476e-05,20
5,6,-3.262181425178558,0.00010740672816406039,3.292481752702684e-05,20
6,2,0.12499987710717626,3.529283596644428e-08,2.823429653149484e-07,20
6,3,-0.6510710392383967,2.6473669137397787e-06,4.066172128983941e-06,20
6,4,-0.9866511909495511,9.349475393453078e-06,9.475968284653021e-06,20
6,5,5.614403824590967,0.0001311349538225791,2.3356879540479583e-05,20
6,6,1.0973438862998361,6.980793063418613e-05,6.361536388522052e-05,20
6,7,-5.346451798039902,0.0004911193520932769,9.185893198800172e-05,20
7,2,0,0.0,0.0,20
7,3,0.27260639525785946,3.940569054466391e-07,1.4455159977956465e-06,20
7,4,-3.9292234129867736,3.988062526237686e-05,1.0149747436240044e-05,20
7,5,3.180277223043754,0.0001434881949603393,4.5118140620147183e-05,20
7,6,9.689882987147698,0.0006153766471562202,6.350712882420076e-05,20
7,7,0.12249295379969119,0.00017927872599768417,0.0014635839894174888,20
7,8,-9.16039671356575,0.0009867690726712908,0.00010772121596109171,20
8,2,-0.07812521434733966,2.2077365945615218e-08,2.825895087783142e-07,20
8,3,0.4447359063896366,2.3422135821593406e-06,5.26652682751302e-06,20
8,4,-0.9272229358247127,0.00010310961167469281,0.00011120261125010093,20
8,5,-7.092976712597045,0.00020660472672481614,2.9128070638930553e-05,20
8,6,9.650659272011204,0.0008681279503497316,8.99553000350424e-05,20
8,7,16.456532644903824,0.0018463802667262948,0.00011219740552686064,20
8,8,-2.438139131094311,0.00036247973184785784,0.00014867065099979175,20
8,9,-16.21691410016522,0.00328882793268212,0.00020280232801187577,20
9,2,0,0.0,0.0,20
9,3,0.6235778821749738,1.0632342065253258e-06,1.7050543916292818e-06,20
9,4,0.31333023975523305,5.061105246828812e-05,0.0001615262303052026,20
9,5,-11.68748892139098,0.0013506919497032214,0.000115567335189608,20
9,6,-0.5574369352975732,0.0014214745661898483,0.0025500186230591826,20
9,7,21.787893176245866,0.0056733692988360784,0.0002603909085170951,20
9,8,27.92312635615749,0.009411075449582527,0.00033703516323870507,20
9,9,-8.631548629503838,0.0012280237186034413,0.00014227154028952402,20
9,10,-29.47595631188309,0.009630391437481697,0.0003267202371852903,20
10,2,0.05468740994153156,1.648501941001051e-08,3.0144085133370345e-07,20
10,3,-0.12637294810510166,9.780197429622962e-07,7.739154286001923e-06,20
10,4,1.4553616927200632,0.0001479128236354392,0.0001016330334756791,20
10,5,-1.5322117835324502,0.0027019511467741134,0.0017634319066159889,20
10,6,-27.537089223646213,0.009563666333810965,0.0003473012799623936,20
10,7,12.26087034695346,0.014245979995936655,0.0011619060957998343,20
10,8,45.099345363253974,0.031220021799375098,0.0006922499993716657,20
10,9,47.410675981425776,0.037877872146340044,0.0007989312820846421,20
10,10,-22.915226231236254,0.00634103761780309,0.00027671721648374917,20
10,11,-54.537940924746046,0.041050340220223976,0.0007526932539838113,20
11,2,0,0.0,0.0,20
11,3,-1.0273351962126553,1.9377472530716593e-06,1.8861879357538835e-06,20
11,4,6.205389965666184,0.0003190502681788538,5.1415023059651e-05,20
11,5,-1.3183738117576478,0.002549249337335407,0.0019336316563636558,20
11,6,-37.09551327198257,0.04032704215505782,0.0010871137395884465,20
11,7,-19.574196627620832,0.029415362492553995,0.0015027621849392507,20
11,8,39.47432214685621,0.043760651601455,0.0011085852579976515,20
11,9,90.74535693908555,0.13934261587045826,0.0015355343851255606,20
11,10,80.63781319307199,0.1811717066354823,0.002246733876595846,20
11,11,-54.90482041186203,0.0371722967471314,0.0006770315696925662,20
11,12,-102.50271185377298,0.10777910689365325,0.0010514756628820455,20
