order,prefactor,error,relative error
1,0.0,0.0,0.0
2,0.5697855518361791,4.30186849998869e-06,7.549978208688476e-06
3,1.0666880651813506,8.54611903182113e-06,8.011825866232206e-06
4,2.0411280804840946,2.4116979933081177e-05,1.181551523575206e-05
5,4.454999790859272,7.227667046374184e-05,1.622372028210606e-05
6,10.844328088851423,0.00026271141931586355,2.4225698186496738e-05
7,28.24660882303658,0.0007442490759473333,2.6348262922817106e-05
8,76.44908917264623,0.003202355398379838,4.1888731874200705e-05
9,212.87501296151538,0.011343647529212464,5.3287830128110085e-05
10,607.5294164713019,0.05734831555804778,9.43959485799759e-05
