order,prefactor,error,relative error
1,0.0,0.0,0.0
2,0.21441463821421403,2.8072764436465428e-06,1.3092746218389683e-05
3,0.26918638545865703,9.719917436909035e-06,3.610850311150624e-05
4,0.31289885109660387,2.3744693139785353e-05,7.588616275377264e-05
5,0.4137154762674389,6.472991891930642e-05,0.00015645998912900937
6,0.6061935189694088,0.00015138666783499433,0.0002497332338563553
7,1.0030071951794222,0.00035165231794215355,0.000350598001322661
8,1.7571291652554497,0.0010260955796677,0.000583961384260859
9,3.1824273640936758,0.0037427723880992915,0.0011760747253269036
10,5.877487256685885,0.01106362562153182,0.00188237339161331
