order,prefactor,error,relative error
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,-0.9970763349918613,3.113998062382889e-06,3.123129045489087e-06
4,-3.2353866654842935,1.2339488136382242e-05,3.8139145061152028e-06
5,-13.381990733573875,8.087837256585094e-05,6.04382219178619e-06
6,-65.29616161549271,0.0005277955684790157,8.08310251967072e-06
7,-354.74417222388854,0.0033327985971875257,9.394935444025018e-06
8,-2083.428697341302,0.030140123226922725,1.446659694444309e-05
9,-12975.872392106183,0.2593286530843528,1.9985450322562845e-05
10,-84616.97156900403,2.0590775765030958,2.433409679314681e-05
11,-572532.8525639938,15.940185265686797,2.7841520699294917e-05
12,-3993295.772950992,148.69257429423092,3.723555247307642e-05
13,-28569239.431077525,1392.4947143866461,4.874104953847301e-05
