order,prefactor,error,relative error
1,0.0,0.0,0.0
2,0.8117410717687534,2.829016246182931e-06,3.4851214809404805e-06
3,1.9075239747427295,1.6146843991362767e-05,8.464818374584527e-06
4,4.952436512521909,6.0049757321118963e-05,1.2125295734591875e-05
5,15.114821052633852,0.00020551041573326647,1.3596615865819661e-05
6,51.39895863110266,0.0008205076485989606,1.5963507247060317e-05
7,186.54100587468972,0.004861580975675728,2.6061728105730974e-05
8,707.9155689003255,0.02050624576102708,2.8967078366254098e-05
9,2780.960551441648,0.10835268503862228,3.896232364117942e-05
10,11229.834414383153,0.5472179971404078,4.872894621131117e-05
