order,prefactor,error,relative error
1,0.0,0.0,0.0
2,0.40913071552448765,2.9438441451364363e-06,7.195363323828075e-06
3,0.649511779127508,6.967792531489421e-06,1.0727738518998511e-05
4,1.0050085543989653,1.982629889093223e-05,1.9727492670735662e-05
5,1.7421184213975276,5.812117744967566e-05,3.3362357424044026e-05
6,3.3688886233261197,0.00012106573100624087,3.593640055892145e-05
7,7.075635260735236,0.00038453777960531884,5.434674985852241e-05
8,15.4752348540867,0.001027130331998874,6.637251981527307e-05
9,34.6884537440357,0.0030607817353838123,8.823632664543546e-05
10,79.52510182407394,0.012869072067427758,0.00016182402502164437
