order,prefactor,error,relative error
1,0.0,0.0,0.0
2,1.613681625207508,2.7414606135738832e-05,1.6988856852239058e-05
3,7.417451370410089,0.0002969621870553583,4.0035609567999117e-05
4,47.28328798160048,0.0038066246979501246,8.050676804522161e-05
5,379.477022525052,0.05158848397993732,0.0001359462653012979
6,3505.463521129813,0.9100990973159356,0.00025962304038542954
7,35651.828450827925,16.79382079893404,0.0004710507575255665
8,389620.1885131409,196.53608837630682,0.0005044299401587045
9,4484159.713295332,3830.2714973511556,0.0008541782055609154
10,53926624.037073076,52574.15809264425,0.0009749202556514748
