order,prefactor,error,relative error
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,-0.20422673206642422,1.5082130843620334e-07,7.384993478089298e-07
4,-0.30362379680833307,1.1356334064962133e-06,3.7402648225662577e-06
5,-0.3466087472225976,2.7868151693904945e-06,8.040233236239586e-06
6,-0.6095198734331323,8.89049617464948e-06,1.45860644782156e-05
7,-0.9969431651729678,2.66214291591328e-05,2.670305599067328e-05
8,-1.9182925900145464,7.299336015475096e-05,3.8051213112488464e-05
9,-3.679915578907546,0.00021088888515321435,5.7308076946651254e-05
10,-7.590742829071409,0.0008593874234899397,0.00011321519419662256
11,-15.867923014263361,0.00438622077776733,0.00027642059857642637
12,-34.46508395327665,0.020682024707015634,0.0006000862999508046
13,-76.02928786898686,0.08702013795668777,0.001144560739627606
