order,prefactor,error,relative error
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,-0.5086728913545707,7.082419544352728e-07,1.3923328065493318e-06
4,-1.0459187734170707,3.406626299396054e-06,3.257065831476023e-06
5,-2.502490547594118,1.1801013119591752e-05,4.715707370378357e-06
6,-7.117173935001734,4.3806161604193366e-05,6.154993822584257e-06
7,-22.107265514662906,0.00024342623216427488,1.1011141653987895e-05
8,-73.70020958577462,0.000914882752227816,1.241357056336518e-05
9,-258.54046630332726,0.0044208394241385274,1.7099216565007155e-05
10,-944.2132564635344,0.019043080209666826,2.0168198316756284e-05
11,-3560.9060907388466,0.09856951745421193,2.768102133065798e-05
12,-13785.864446480955,0.5379134512452786,3.901920357142267e-05
13,-54555.5643778239,3.8072944677839935,6.978746368411885e-05
