order,Nsites,prefactor,error,relative error,Nseeds
2,2,-0.5411616168555691,0.0,0.0,0
3,2,0,0.0,0.0,20
3,3,-0.5086728913545707,7.082419544352728e-07,1.3923328065493318e-06,20
4,2,0.12550981321233579,9.814622129449261e-08,7.819804585992824e-07,20
4,3,-0.334694402689872,1.294172097807485e-06,3.866727639920126e-06,20
4,4,-0.8367341839395346,3.1496965955848882e-06,3.7642738351568254e-06,20
5,2,0,0.0,0.0,20
5,3,0.3753763673304353,5.331038836962472e-07,1.4201849932309885e-06,20
5,4,-1.1261214723186668,5.446442023116401e-06,4.836460503592264e-06,20
5,5,-1.7517454426058865,1.0455428264150463e-05,5.96857740277436e-06,20
6,2,-0.06251539447171955,4.8871734589038785e-08,7.817551980920023e-07,20
6,3,0.6084200728451324,1.909556566918636e-06,3.1385495846464216e-06,20
6,4,0.14823601987090212,4.1090175992560275e-06,2.771942745652876e-05,20
6,5,-3.5935045654236553,2.544827532334681e-05,7.081742866895897e-06,20
6,6,-4.217810067822394,3.536710699506171e-05,8.385182458754321e-06,20
7,2,0,0.0,0.0,20
7,3,-0.00416692549783272,6.190482677441726e-08,1.4856235564234324e-05,20
7,4,2.757014003968741,1.7657691026083872e-05,6.404643212064031e-06,20
7,5,-2.0843667980159037,4.196231993447041e-05,2.0131926863551124e-05,20
7,6,-11.63751473624287,0.00011327310369158274,9.733444490412955e-06,20
7,7,-11.13823105887504,0.00021060128277602757,1.890796497781563e-05,20
8,2,0.03906319824189421,3.1373182603636525e-08,8.031391185473811e-07,20
8,3,-0.6372776488079464,1.761657045062329e-06,2.764347766405396e-06,20
8,4,3.8857355559096014,2.9192526017619258e-05,7.512741306654785e-06,20
8,5,6.74175705844736,9.949782575330804e-05,1.4758441292190762e-05,20
8,6,-13.72780492662111,0.00022799718914683745,1.660842285897455e-05,20
8,7,-38.5828422734809,0.0004515432757348001,1.1703214411582084e-05,20
8,8,-31.41884054946353,0.0007552359080969501,2.403767595777323e-05,20
9,2,0,0.0,0.0,20
9,3,-0.5749420087216308,1.5019486467251915e-06,2.612348069790094e-06,20
9,4,0.5758650874515249,9.270789808478024e-06,1.6098891928846824e-05,20
9,5,22.531236432849518,0.00029981321656166905,1.3306558539528484e-05,20
9,6,8.979581723032307,0.0004446847100050684,4.9521762117768574e-05,20
9,7,-66.09344106447583,0.0015779399032888573,2.3874379633972105e-05,20
9,8,-130.82673378819362,0.0026642878891871427,2.036501112609432e-05,20
9,9,-93.1320326852695,0.003109304787187352,3.338598651330784e-05,20
10,2,-0.0273437581537115,2.2586907999212765e-08,8.260352462248111e-07,20
10,3,0.10661669117676123,5.992536910098804e-07,5.62063673516532e-06,20
10,4,-6.6646631731787735,7.11125167626783e-05,1.0670084131012508e-05,20
10,5,32.30911501875769,0.0008337236765864811,2.5804596507903316e-05,20
10,6,83.44316933225932,0.0015868750841071234,1.9017435421087655e-05,20
10,7,-25.780477260976415,0.003459919209531656,0.00013420694948766104,20
10,8,-288.08887558652975,0.00984236516909326,3.41643360891838e-05,20
10,9,-452.5546674816713,0.013605298782972649,3.006332662235479e-05,20
10,10,-286.9561302452183,0.008091553051699316,2.8197874862560635e-05,20
11,2,0,0.0,0.0,20
11,3,0.888086306864557,2.9583622617030036e-06,3.3311652694518875e-06,20
11,4,-13.295748580702996,0.00014110172195010685,1.0612544385420853e-05,20
11,5,9.580048514424728,0.0006437211324849416,6.719393242275208e-05,20
11,6,215.2888180124637,0.010512092797666952,4.8827862471976485e-05,20
11,7,242.49740077106748,0.023409670119787115,9.653575685904893e-05,20
11,8,-307.6443910014649,0.02357605608905876,7.663411646255725e-05,20
11,9,-1203.5987058113456,0.04837136010105207,4.018894326447863e-05,20
11,10,-1592.5302998803008,0.06623714198164735,4.159239041582187e-05,20
11,11,-912.0912990698523,0.042119126879256584,4.6178630277703046e-05,20
12,2,0.020507839310431573,1.66982776326194e-08,8.142387591327385e-07,20
12,3,1.0037085023939494,2.7310356881044252e-06,2.7209450568473023e-06,20
12,4,-11.036922654975944,0.0002459546659313339,2.2284714101937317e-05,20
12,5,-74.49982116637341,0.00406703530076821,5.4591208906202395e-05,20
12,6,319.42042972762886,0.04227214866422791,0.00013234015338428276,20
12,7,986.7618214360267,0.11421963006838848,0.00011575197538770355,20
12,8,493.9809171451372,0.11053387200218905,0.00022376142107067052,20
12,9,-1913.7641243939815,0.2537983645400148,0.00013261736977140972,20
12,10,-4925.904752553222,0.23822718856504552,4.836211833807105e-05,20
12,11,-5687.851546670188,0.24850362730876183,4.369024494920971e-05,20
12,12,-2973.994663692712,0.2817155097744214,9.47262996849579e-05,20
13,2,0,0.0,0.0,20
13,3,-0.11772573215184141,5.083741321862404e-07,4.318292380892096e-06,20
13,4,8.18488559610217,0.00029496318830407256,3.6037545649329635e-05,20
13,5,-221.99598145876038,0.014843410512625183,6.686341984700567e-05,20
13,6,121.29609684745472,0.04698034969284467,0.00038731955037208196,20
13,7,2331.2155452544334,0.5292403493224126,0.00022702334428052653,20
13,8,3746.1987488496065,1.0601461968233314,0.0002829925126500254,20
13,9,-109.57624501376999,1.4657991620355586,0.013376979306521753,20
13,10,-9992.785771791365,1.8862211159892872,0.000188758286134173,20
13,11,-19958.210304084656,1.942286714765943,9.731767955007638e-05,20
13,12,-20574.623015237426,1.5850522012422759,7.703918560589893e-05,20
13,13,-9905.150611053366,1.0477561006670362,0.00010577891662725683,20
