order,prefactor,error,relative error
1,0.0,0.0,0.0
2,0.677073813201659,3.156667873306248e-06,4.662221181438705e-06
3,1.4050661961783457,1.0984199871158742e-05,7.817567528871439e-06
4,3.083504866047465,3.5917252175892725e-05,1.1648190528699443e-05
5,7.8278619830807,0.00011644332298408842,1.4875495152542468e-05
6,22.142508286902398,0.00041861183653781454,1.890534853205539e-05
7,66.81216091341471,0.0015664212658683756,2.3445151967145336e-05
8,209.9372886482927,0.00569243777692454,2.711494376999916e-05
9,680.731645386251,0.028912962022663056,4.247336262185619e-05
10,2265.391382288217,0.15731992293099387,6.944491983194922e-05
