order,prefactor,error,relative error
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,-48.59874639943334,0.00018359102657736193,3.7776905821484855e-06
4,-285.2557996431426,0.003022454384268575,1.0595593106431807e-05
5,-1878.8120442067607,0.028837477192642666,1.5348782376375453e-05
6,-13341.68841245376,0.4013821660984062,3.0084810384549022e-05
7,-99403.26084426873,3.280542448293213,3.300236250229972e-05
8,-766950.6264330789,30.56659768017384,3.985471375430314e-05
9,-6072109.799979429,401.5214952351182,6.61255327162362e-05
10,-49068144.74060014,2855.8832016891233,5.8202388062292034e-05
11,-402926924.86398256,38236.63997989746,9.489720745965323e-05
