order,prefactor,error,relative error
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.026057744834492302,1.0284863692185954e-05,0.00039469508038823115
4,-0.12456111007058701,4.705281305499946e-05,0.0003777488256835163
5,0.09337731448015729,0.00011293435104060135,0.0012094409832765101
6,-0.14742644022986795,0.0005131882342584351,0.0034809782658949758
7,0.17563943269648163,0.0011860531033163237,0.006752772342221772
8,-0.2014502707239636,0.0038940813481361616,0.01933023636127057
9,0.29549685625808486,0.014793764331829164,0.05006403289417196
10,-0.3679003169712587,0.06660702837316278,0.1810464011597095
11,0.6399310714711959,0.2639143732126505,0.41241062510984766
