order,prefactor,error,relative error
1,0.0,0.0,0.0
2,0.11194841218645202,2.9732090108033227e-06,2.655874212714506e-05
3,0.11976031799359521,1.2320263204969508e-05,0.00010287433610211687
4,0.11547772064313566,2.924909223051549e-05,0.00025328775167726816
5,0.13584771487462666,6.856735913624927e-05,0.0005047369342909435
6,0.1750580660886425,0.00023183217539040173,0.0013243158717005995
7,0.2626099854481172,0.0007736022920137854,0.0029458220741062527
8,0.4182680885836745,0.0016767077463109637,0.004008691535585648
9,0.6943845484505236,0.00901900332845454,0.012988485052813881
10,1.1833748494895815,0.02917702358587714,0.024655774624973568
