order,prefactor,error,relative error
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,-0.3888296568248366,8.033836773828043e-06,2.0661584405448775e-05
4,-0.8275236567791389,4.8244857577135316e-05,5.8300275988377674e-05
5,-0.8177329513081801,0.00018004340333880247,0.00022017383921092506
6,-1.9951811703099498,0.0005942303246564959,0.0002978327650136066
7,-2.9581538767583275,0.0018522754445700392,0.0006261592607210287
8,-6.793266014589591,0.008265341536994125,0.0012166962870647233
9,-12.988881870935465,0.024972791643509816,0.0019226282825306243
10,-29.058957285747965,0.1484651415504825,0.005109100787429065
11,-62.268739688170285,0.5503102554511254,0.008837664905488244
