order,Nsites,prefactor,error,relative error,Nseeds
2,2,-1.1647299307207089,3.912846139950655e-06,3.3594449981460284e-06,20
3,2,0,0.0,0.0,20
3,3,-3.4132306577293994,2.7107883161942568e-05,7.942001546410486e-06,20
4,2,0.25400086048127873,1.039484237980828e-06,4.0924437657857605e-06,20
4,3,-2.2051722356001426,2.455423040016693e-05,1.1134835639486656e-05,20
4,4,-18.535896922852313,0.0002709177713982548,1.4615843653308676e-05,20
5,2,0,0.0,0.0,20
5,3,2.519857179625765,3.053435073955788e-05,1.2117492604915278e-05,20
5,4,-26.708568008992984,0.0007919176618451605,2.965032275704619e-05,20
5,5,-126.71772989199364,0.0038653821998739352,3.0503878211585294e-05,20
6,2,-0.12524499693971272,5.036721786569639e-07,4.021495396733563e-06,20
6,3,4.220479856380785,4.941809001441434e-05,1.1709116426583812e-05,20
6,4,5.461209259655554,0.0001265688036061973,2.317596663823502e-05,20
6,5,-298.0800125932752,0.01339918948100178,4.495165363296174e-05,20
6,6,-1035.7016190218399,0.04451715805807337,4.2982609315718984e-05,20
7,2,0,0.0,0.0,20
7,3,0.13607453846060036,2.4636093020922183e-06,1.810485142895078e-05,20
7,4,81.7876181636008,0.0023523898490634427,2.8762175765504354e-05,20
7,5,-193.0955192876007,0.01671539196427973,8.656540569117742e-05,20
7,6,-3348.5747425596055,0.2326954494963506,6.949089310710184e-05,20
7,7,-9433.131905799488,0.5242000383772952,5.557009523581634e-05,20
8,2,0.07814406782717273,3.176568280029087e-07,4.065015257529902e-06,20
8,3,-4.626918776945789,6.796290538182317e-05,1.4688588379907808e-05,20
8,4,130.88007142961735,0.009080365443431231,6.937928245488717e-05,20
8,5,838.7092569733619,0.0724677108069374,8.640385235337761e-05,20
8,6,-4760.066185977325,0.7093845920688955,0.00014902830430355587,20
8,7,-38839.520499204395,3.5421754913606054,9.120028892821076e-05,20
8,8,-93036.31780704316,6.618416193046405,7.11379851336439e-05,20
9,2,0,0.0,0.0,20
9,3,-4.748923091877483,8.798009592841336e-05,1.852632570085074e-05,20
9,4,35.37318245186169,0.0030987771475843545,8.760244153325441e-05,20
9,5,3227.920105945973,0.5879441352353132,0.0001821433356272647,20
9,6,4969.256844620917,1.291665214782933,0.00025993126440649266,20
9,7,-82530.77864771165,21.40164755742873,0.0002593171651606869,20
9,8,-464452.51715317107,62.377092986708696,0.00013430241129716485,20
9,9,-974094.967612447,73.36841887770137,7.531957490503298e-05,20
10,2,-0.05468905927552391,2.2411375262983627e-07,4.097963205048919e-06,20
10,3,0.351523287597019,7.277579637425698e-06,2.0702980127361023e-05,20
10,4,-271.26546073147045,0.031284649810992105,0.00011532854100419819,20
10,5,5520.458847183036,1.8233391917525286,0.00033028761598013486,20
10,6,50499.108483582284,19.07272258826251,0.00037768434257533923,20
10,7,-27298.484222942345,17.673466601691825,0.0006474156754402719,20
10,8,-1289885.8618441632,521.369075990129,0.0004041978375084461,20
10,9,-5704176.119345939,1217.247657729116,0.00021339587562886996,20
10,10,-10692589.991602208,1928.7447020360235,0.000180381432707214,20
11,2,0,0.0,0.0,20
11,3,7.534991457045239,0.00016567937234889885,2.198799737111688e-05,20
11,4,-736.2962027996494,0.0961450147962423,0.0001305792620288766,20
11,5,2023.6404330019163,0.7750879669990133,0.0003830166438457791,20
11,6,160379.9868368691,113.26727100752798,0.0007062431743602652,20
11,7,609388.99913894,867.7799663151254,0.0014240164616382788,20
11,8,-1627236.4661372935,1429.9722992888042,0.0008787735089806881,20
11,9,-19316107.60620553,12120.928476906936,0.000627503673308019,20
11,10,-71767529.8532552,24233.786406538813,0.0003376706214647518,20
11,11,-121840355.96003243,20755.318262139823,0.00017034847032906106,20
12,2,0.04101570949498855,1.6705012964110184e-07,4.07283286569778e-06,20
12,3,9.808022311785134,0.0001907849582250254,1.9451929467552475e-05,20
12,4,-993.8169598752835,0.2041554704056183,0.0002054256252894278,20
12,5,-19707.763727938414,14.298993351195552,0.0007255512877356449,20
12,6,292979.29816048976,383.93552401739225,0.0013104527399307169,20
12,7,3118484.878009308,8365.96182671499,0.0026827007838676523,20
12,8,5605621.454140821,11723.897148633672,0.0020914535960992048,20
12,9,-38570808.416841075,65846.9809096677,0.0017071713975514474,20
12,10,-284486340.3412435,290292.22191531747,0.0010204082964655166,20
12,11,-921659417.4761322,408264.7731507659,0.00044296707157699997,20
12,12,-1432967460.689281,329707.1644265574,0.00023008698625156697,20
13,2,0,0.0,0.0,20
13,3,-0.03621539383285542,3.6648294531212143e-06,0.00010119534996735003,20
13,4,-75.95659511543401,0.0521300545474425,0.0006863137357357653,20
13,5,-75951.89028857902,64.18175310556146,0.0008450316754685506,20
13,6,86576.13004882778,216.6528567478865,0.0025024548524598777,20
13,7,9458267.819765097,56995.67287689231,0.006026015964338367,20
13,8,48985301.04067679,277847.83431321353,0.005672065464750174,20
13,9,23295392.680776328,181705.46648080891,0.00780006025100211,20
13,10,-743573080.7708447,2776381.4230414582,0.0037338379976898156,20
13,11,-4157321363.1688833,6694546.979271717,0.0016103029798420143,20
13,12,-12021392928.493876,7294785.551730452,0.0006068169965927896,20
13,13,-17279060287.417503,7564102.448517245,0.00043776121633335433,20
