order,prefactor,error,relative error
1,0.0,0.0,0.0
2,-13.87990068250563,6.699975571968061e-05,4.827106277794033e-06
3,-63.43972234267804,0.0005914869616485646,9.323605775787758e-06
4,-401.05418225581803,0.006461046600674585,1.611015889257905e-05
5,-2842.6733515766873,0.05503192007640178,1.9359213412922858e-05
6,-21818.21374624994,0.5871542764066069,2.691119828760159e-05
7,-175786.18380422302,7.896270424086615,4.4919744277973896e-05
8,-1469240.9282011,92.87375380929512,6.321206551399797e-05
9,-12611242.119188752,1514.192058504538,0.00012006684545375629
10,-110574628.94218326,22389.676113032616,0.00020248475013865636
11,-986028207.3500433,310493.56861184945,0.0003148931909831492
