order,Nsites,prefactor,error,relative error,Nseeds
2,2,-1.01599769683982,2.2186481384791582e-06,2.183713747954436e-06,20
3,2,0,0.0,0.0,20
3,3,-0.812494763850216,4.696748629329564e-06,5.780650950995437e-06,20
4,2,0.2500612591742137,5.457035007967288e-07,2.1822792646842828e-06,20
4,3,-1.5644136430221542,5.9900809512153205e-06,3.828962357834981e-06,20
4,4,-3.292541083214547,5.837026308597995e-05,1.7728028781038737e-05,20
5,2,0,0.0,0.0,20
5,3,0.6748656473119051,3.875459483861038e-06,5.742564463456683e-06,20
5,4,-4.999896997447751,0.00011873855880185055,2.3748200985432677e-05,20
5,5,-6.432434680144989,0.00024659054213618906,3.8335491054008e-05,20
6,2,-0.12500056527205317,2.765435473692077e-07,2.21233837436922e-06,20
6,3,2.464106247025407,1.2281450912679945e-05,4.984140163398285e-06,20
6,4,-4.593175543375548,0.00010921816993470494,2.3778357457342018e-05,20
6,5,-29.44151045303508,0.0018377187645746953,6.241930988921962e-05,20
6,6,-29.48529684504485,0.0019325352253840272,6.554233574585156e-05,20
7,2,0,0.0,0.0,20
7,3,0.009671722143080244,7.609149722045195e-08,7.867419689562997e-06,20
7,4,14.70758562413532,0.00038437988730719865,2.6134805339934704e-05,20
7,5,-39.93313910883945,0.0035604775261157203,8.916097270518827e-05,20
7,6,-108.59809042827987,0.008579875393952125,7.900576667707089e-05,20
7,7,-98.30284227200605,0.009553438428222438,9.718374573329092e-05,20
8,2,0.07812487833104352,1.7361603351093136e-07,2.2222886898493088e-06,20
8,3,-2.2587736331155415,1.327760195426526e-05,5.878234879141641e-06,20
8,4,43.665776893186845,0.0010477647033301208,2.399510046261431e-05,20
8,5,6.4070669633633655,0.005342563716930045,0.0008338548274084974,20
8,6,-329.6826041019777,0.05036983422087183,0.00015278280865948084,20
8,7,-558.0718318567641,0.09979829642599335,0.00017882697303311986,20
8,8,-477.1214635491332,0.09530343019599302,0.00019974668397239025,20
9,2,0,0.0,0.0,20
9,3,-0.9801611461473557,6.452764409734132e-06,6.5833709437448305e-06,20
9,4,8.977877428003648,0.0005872940678543745,6.541569235758292e-05,20
9,5,301.5401966403148,0.04497626590927171,0.00014915512561968844,20
9,6,-291.2700997288584,0.12090725105728455,0.0004151035453684961,20
9,7,-1759.1918510604482,0.7010530934188557,0.00039850860666291625,20
9,8,-2540.5029840727852,0.9378024515070503,0.0003691404644617345,20
9,9,-1946.013477933516,0.5761784054819468,0.0002960814054041364,20
10,2,-0.05468745802575566,1.2688454504656982e-07,2.320176318797121e-06,20
10,3,0.7032472332971282,3.7960465161130098e-06,5.397883328051639e-06,20
10,4,-57.844710573918086,0.0023060518474811342,3.9866252672045044e-05,20
10,5,760.7603593520273,0.09330926112103091,0.00012265263295330802,20
10,6,1280.6702108788713,0.7386618343895816,0.0005767775560912503,20
10,7,-4080.7654516502907,2.611990074502023,0.0006400735610633332,20
10,8,-10693.937220930831,6.852828101112273,0.0006408143193228679,20
10,9,-13396.897065402562,7.303675332625171,0.0005451766403047827,20
10,10,-9701.403357829602,3.9289622437310863,0.0004049890617691082,20
11,2,0,0.0,0.0,20
11,3,1.42459881886772,7.938497239624678e-06,5.572444069505999e-06,20
11,4,-113.1738411221751,0.007066000332793796,6.24349254450576e-05,20
11,5,350.50324306376785,0.1591493611301406,0.0004540595965361331,20
11,6,6820.007517641284,4.021496008541482,0.0005896615213603645,20
11,7,1089.8989875833508,7.641267065555499,0.0070109864791218805,20
11,8,-29131.41967383846,26.353326351693873,0.0009046358415330009,20
11,9,-58337.02572028921,67.11166022534441,0.0011504127849631428,20
11,10,-67388.55669065034,52.90123613120718,0.0007850180910395849,20
11,11,-44717.47288186719,24.1121994827558,0.0005392120334361119,20
12,2,0.04101546302984505,9.337629846646974e-08,2.2766120767312593e-06,20
12,3,1.5982988823483475,9.363679908939159e-06,5.858528722225781e-06,20
12,4,-202.14729410320086,0.024229247358924212,0.00011985937020039765,20
12,5,-1218.5621675581262,0.3170064449899095,0.000260147946021628,20
12,6,16440.180520103553,14.540392079498085,0.0008844423613060484,20
12,7,40308.199939221806,117.22924400450948,0.002908322479824752,20
12,8,-38549.09704462041,143.84744884089844,0.0037315387355090486,20
12,9,-209651.78303111874,1072.9813666982893,0.005117921494323881,20
12,10,-341749.0267957519,573.7922047238303,0.0016789870920883713,20
12,11,-364682.1910959657,499.86019377784714,0.0013706734411012397,20
12,12,-228280.49111981457,250.40990879534655,0.0010969395920211035,20
13,2,0,0.0,0.0,20
13,3,-0.40853842146423547,2.7087705110096965e-06,6.630393541202904e-06,20
13,4,-53.99146774119964,0.019901587311509622,0.0003686061547151307,20
13,5,-4710.096371668458,3.2268693304999947,0.0006850962434462759,20
13,6,11795.923867526893,24.94398652170152,0.0021146276291567167,20
13,7,163694.43314371284,989.8037400460732,0.0060466548619713375,20
13,8,156413.66187418473,3307.5396896596612,0.021146104822481325,20
13,9,-461705.4177670421,3360.034544746877,0.00727744231591888,20
13,10,-1352955.1225794603,9715.6478307802,0.007181056983070473,20
13,11,-1938100.48348139,52100.02715015446,0.026882005135547834,20
13,12,-1933556.6597279652,10001.503662440049,0.005172594044307538,20
13,13,-1131336.1358492812,2491.87954620655,0.002202598738999815,20
