order,prefactor,error,relative error
1,0.0,0.0,0.0
2,-6.788761305045436,4.639222800429347e-05,6.833680832144529e-06
3,-21.293965491043434,0.00036301623666773995,1.704784563591174e-05
4,-92.12989519156898,0.003342598672566654,3.6281368448496214e-05
5,-465.57982602589846,0.03445095352360764,7.399580393694135e-05
6,-2495.4589594852814,0.200804694430738,8.046804122643492e-05
7,-14282.87145506832,2.893494918640574,0.000202584958335798
8,-83774.89748328248,19.151486383839078,0.00022860650337006754
9,-511756.1880882742,237.11949316458623,0.0004633446525588174
10,-3165477.863675604,2638.9902450378568,0.000833678312939957
11,-20017424.964449137,59278.48960750672,0.0029613444143182788
