order,prefactor,error,relative error
1,0.0,0.0,0.0
2,-8.823654089194703,5.175631349941945e-05,5.865632647907102e-06
3,-31.164041433721398,0.0003986996771048435,1.2793580638531243e-05
4,-155.10562101811198,0.003037622211321617,1.958421746022285e-05
5,-873.1148902153907,0.03596727069308373,4.1194201468962335e-05
6,-5318.229286136724,0.2690360248031304,5.058751895192618e-05
7,-34076.958092289184,3.188665419139625,9.357247822719086e-05
8,-226495.65921596746,28.25247514142459,0.0001247373801300332
9,-1550004.1768694355,386.9238961037708,0.00024962764738172916
10,-10826302.303130321,4074.9598149433955,0.00037639442358497233
11,-76899923.75533296,70689.96952299526,0.0009192462888247397
